file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/dbutils/BaseResultSetHandler.java,1240,NullifyInputVariable,"protected final void updateNClob(final String columnLabel, final Reader reader) throws SQLException {","protected final void updateNClob(final String columnLabel, final Reader reader) throws SQLException { reader = null;",90,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,897,NullifyInputVariable,"protected final void updateBigDecimal(final String columnLabel, final BigDecimal x) throws SQLException {","protected final void updateBigDecimal(final String columnLabel, final BigDecimal x) throws SQLException { columnLabel = null;",150,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/wrappers/SqlNullCheckedResultSet.java,579,NullifyInputVariable,public void setNullString(final String nullString) {,public void setNullString(final String nullString) { nullString = null;,30,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,322,NullifyInputVariable,"public int execute(final String sql, final Object... params) throws SQLException {","public int execute(final String sql, final Object... params) throws SQLException { params = null;",107,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,322,NullifyInputVariable,"public int execute(final String sql, final Object... params) throws SQLException {","public int execute(final String sql, final Object... params) throws SQLException { sql = null;",108,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,974,NullifyInputVariable,"protected final void updateBlob(final String columnLabel, final InputStream inputStream) throws SQLException {","protected final void updateBlob(final String columnLabel, final InputStream inputStream) throws SQLException { inputStream = null;",133,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,315,NullifyInputVariable,protected final Date getDate(final String columnLabel) throws SQLException {,protected final Date getDate(final String columnLabel) throws SQLException { columnLabel = null;,195,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,890,NullifyInputVariable,"protected final void updateBigDecimal(final int columnIndex, final BigDecimal x) throws SQLException {","protected final void updateBigDecimal(final int columnIndex, final BigDecimal x) throws SQLException { x = null;",151,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/ResultSetIterator.java,130,NullifyInputVariable,protected void rethrow(final SQLException e) {,protected void rethrow(final SQLException e) { e = null;,5,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/DbUtils.java,135,NullifyInputVariable,public static void close(final ResultSet resultSet) throws SQLException {,public static void close(final ResultSet resultSet) throws SQLException { resultSet = null;,37,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/AsyncQueryRunner.java,506,NullifyInputVariable,"public Future<Integer> update(final Connection conn, final String sql, final Object param) throws SQLException {","public Future<Integer> update(final Connection conn, final String sql, final Object param) throws SQLException { sql = null;",30,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/handlers/columns/IntegerColumnHandler.java,32,NullifyInputVariable,public boolean match(final Class<?> propType) {,public boolean match(final Class<?> propType) { propType = null;,3,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/handlers/columns/SQLXMLColumnHandler.java,33,NullifyInputVariable,public boolean match(final Class<?> propType) {,public boolean match(final Class<?> propType) { propType = null;,2,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,699,NullifyInputVariable,"public <T> T query(final String sql, final ResultSetHandler<T> rsh, final Object... params) throws SQLException {","public <T> T query(final String sql, final ResultSetHandler<T> rsh, final Object... params) throws SQLException { params = null;",59,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/QueryRunner.java,840,NullifyInputVariable,"public int update(final String sql, final Object... params) throws SQLException {","public int update(final String sql, final Object... params) throws SQLException { params = null;",44,reduced_nullify_final_param_non_compilable
